Site,Species,Hunted,site.sp
PSH,Atherurus macrourus,Yes,Atherurus macrourus-PSH
PSH,Callosciurus erythraeus,Yes,Callosciurus erythraeus-PSH
PSH,Capricornis sumatraensis,Yes,Capricornis sumatraensis-PSH
PSH,Chalcophaps indica,Unknown,Chalcophaps indica-PSH
PSH,Cuon alpinus,Unknown,Cuon alpinus-PSH
PSH,Echinosorex gymnura,Unknown,Echinosorex gymnura-PSH
PSH,Gallus gallus,Yes,Gallus gallus-PSH
PSH,Helarctos malayanus,Yes,Helarctos malayanus-PSH
PSH,Hemigalus derbyanus,Unknown,Hemigalus derbyanus-PSH
PSH,Herpestes brachyurus,Unknown,Herpestes brachyurus-PSH
PSH,Hystrix brachyura,Yes,Hystrix brachyura-PSH
PSH,Lariscus insignis,Yes,Lariscus insignis-PSH
PSH,Leopoldamys sabanus,Unknown,Leopoldamys sabanus-PSH
PSH,Lophura ignita,Unknown,Lophura ignita-PSH
PSH,Macaca fascicularis,Yes,Macaca fascicularis-PSH
PSH,Macaca nemestrina,Yes,Macaca nemestrina-PSH
PSH,Manis javanica,Yes,Manis javanica-PSH
PSH,Martes flavigula,Unknown,Martes flavigula-PSH
PSH,Muntiacus montanus,Unknown,Muntiacus montanus-PSH
PSH,Muntiacus muntjak,Yes,Muntiacus muntjak-PSH
PSH,Neofelis nebulosa,Yes,Neofelis nebulosa-PSH
PSH,Paguma larvata,Unknown,Paguma larvata-PSH
PSH,Panthera pardus,Yes,Panthera pardus-PSH
PSH,Pardofelis marmorata,Yes,Pardofelis marmorata-PSH
PSH,Pardofelis temminckii,Unknown,Pardofelis temminckii-PSH
PSH,Presbytis siamensis,Yes,Presbytis siamensis-PSH
PSH,Prionailurus bengalensis,Unknown,Prionailurus bengalensis-PSH
PSH,Prionailurus planiceps,Unknown,Prionailurus planiceps-PSH
PSH,Prionodon linsang,Unknown,Prionodon linsang-PSH
PSH,Rhinosciurus laticaudatus,Unknown,Rhinosciurus laticaudatus-PSH
PSH,Rhizomys sumatrensis,Yes,Rhizomys sumatrensis-PSH
PSH,Rusa unicolor,Yes,Rusa unicolor-PSH
PSH,Sundasciurus hippurus,Yes,Sundasciurus hippurus-PSH
PSH,Sus scrofa,Yes,Sus scrofa-PSH
PSH,Tapirus indicus,No,Tapirus indicus-PSH
PSH,Tragulus kanchil,Yes,Tragulus kanchil-PSH
PSH,Tupaia glis,Yes,Tupaia glis-PSH
PSH,Viverra zibetha,Unknown,Viverra zibetha-PSH
RNF,Brachypteracias squamiger,Yes,Brachypteracias squamiger-RNF
RNF,Canirallus kioloides,No,Canirallus kioloides-RNF
RNF,Coua reynaudii,Yes,Coua reynaudii-RNF
RNF,Cryptoprocta ferox,No,Cryptoprocta ferox-RNF
RNF,Eulemur rufifrons,No,Eulemur rufifrons-RNF
RNF,Eupleres goudotii,Yes,Eupleres goudotii-RNF
RNF,Fossa fossana,Yes,Fossa fossana-RNF
RNF,Galidia elegans,Yes,Galidia elegans-RNF
RNF,Galidictis fasciata,Yes,Galidictis fasciata-RNF
RNF,Hemicentetes nigriceps,Yes,Hemicentetes nigriceps-RNF
RNF,Hemicentetes semispinosus,Yes,Hemicentetes semispinosus-RNF
RNF,Lophotibis cristata,Yes,Lophotibis cristata-RNF
RNF,Nesomys rufus,No,Nesomys rufus-RNF
RNF,Numida meleagris,Yes,Numida meleagris-RNF
RNF,Potamochoerus larvatus,Yes,Potamochoerus larvatus-RNF
RNF,Rattus rattus,No,Rattus rattus-RNF
RNF,Setifer setosus,Yes,Setifer setosus-RNF
RNF,Tenrec ecaudatus,Yes,Tenrec ecaudatus-RNF
UDZ,Aplopelia larvata,Yes,Aplopelia larvata-UDZ
UDZ,Atilax paludinosus,Unknown,Atilax paludinosus-UDZ
UDZ,Bdeogale crassicauda,Unknown,Bdeogale crassicauda-UDZ
UDZ,Cephalophus harveyi,Yes,Cephalophus harveyi-UDZ
UDZ,Cephalophus spadix,Yes,Cephalophus spadix-UDZ
UDZ,Cercocebus sanjei,Unknown,Cercocebus sanjei-UDZ
UDZ,Cercopithecus mitis,Yes,Cercopithecus mitis-UDZ
UDZ,Civettictis civetta,Unknown,Civettictis civetta-UDZ
UDZ,Cricetomys gambianus,Yes,Cricetomys gambianus-UDZ
UDZ,Crocuta crocuta,No,Crocuta crocuta-UDZ
UDZ,Francolinus squamatus,Yes,Francolinus squamatus-UDZ
UDZ,Genetta servalina,Unknown,Genetta servalina-UDZ
UDZ,Guttera pucherani,Yes,Guttera pucherani-UDZ
UDZ,Hystrix africaeaustralis,Yes,Hystrix africaeaustralis-UDZ
UDZ,Leptailurus serval,Unknown,Leptailurus serval-UDZ
UDZ,Loxodonta africana,Yes,Loxodonta africana-UDZ
UDZ,Mellivora capensis,Unknown,Mellivora capensis-UDZ
UDZ,Mungos mungo,Unknown,Mungos mungo-UDZ
UDZ,Nandinia binotata,No,Nandinia binotata-UDZ
UDZ,Nesotragus moschatus,Yes,Nesotragus moschatus-UDZ
UDZ,Panthera pardus,Yes,Panthera pardus-UDZ
UDZ,Papio cynocephalus,Yes,Papio cynocephalus-UDZ
UDZ,Paraxerus vexillarius,Unknown,Paraxerus vexillarius-UDZ
UDZ,Petrodromus tetradactylus,Unknown,Petrodromus tetradactylus-UDZ
UDZ,Potamochoerus larvatus,Yes,Potamochoerus larvatus-UDZ
UDZ,Rhynchocyon cirnei,Unknown,Rhynchocyon cirnei-UDZ
UDZ,Rhynchocyon udzungwensis,Unknown,Rhynchocyon udzungwensis-UDZ
UDZ,Syncerus caffer,Yes,Syncerus caffer-UDZ
UDZ,Thryonomys swinderianus,Yes,Thryonomys swinderianus-UDZ
